"country","avg"
"Albania",33.1729225124109
"Algeria",63.7554392402328
"Argentina",62.3048996330671
"Australia",61.6342931146124
"Austria",51.0472264191669
"Bahamas",76.5730383162439
"Bahrain",80.6355924886682
"Bangladesh",10.1098795180723
"Barbados",77.0025169749473
"Belarus",41.8212327288429
"Belgium",51.0570472695878
"Belize",73.4780740580805
"Benin",76.152126052234
"Bermuda",66.9712760371084
"Bolivia",44.8671487157349
"Brazil",70.1315249847106
"Bulgaria",45.2033455644291
"Burundi",-65.3971384547654
"Canada",42.0052474914136
"Central African Republic",67.0195121951218
"China",59.9836754516606
"Colombia",55.243956399741
"Congo",69.3174419859688
"Costa Rica",70.3757284696741
"Croatia",46.9286130599029
"Cuba",72.6408031088083
"Cyprus",23.7774769992923
"Czech Republic",47.6032592272825
"Denmark",46.9604467947335
"Dominican Republic",65.2157582298975
"Egypt",71.953475070149
"Equador",59.9456088427157
"Ethiopia",25.455255513717
"Finland",42.2439995683143
"France",54.6965734944961
"Gabon",70.3977979274613
"Gambia",59.6658270852858
"Georgia",46.5160347190499
"Germany",6.4219029941086
"Greece",59.6338707224335
"Guatemala",56.9113533347723
"Guinea",49.3893913231169
"Guinea-Bissau",2.39212173537665
"Guyana",-22.10152023692
"Haiti",16.6851963746224
"Honduras",68.5314948731788
"Hong Kong",75.0627778976904
"Hungary",51.0990610835312
"Iceland",41.0827649471185
"India",79.7624612146888
"Indonesia",35.9884079870481
"Ireland",49.0667817828621
"Israel",54.0204481792717
"Italy",57.2103712497302
"Ivory Coast",75.1399525145695
"Japan",55.8534714727678
"Jordan",64.1601014461472
"Kazakhstan",49.3198381003778
"Kenya",23.4520609756098
"Kuwait",79.4944636304769
"Kyrgyzstan",51.3729999999999
"Laos",79.9674616878912
"Latvia",44.1364234837039
"Lebanon",69.398381178502
"Macedonia",54.0078035617918
"Madagascar",63.4458989855383
"Malawi",-20.5855436500966
"Malaysia",78.9531297215629
"Mauritania",73.4147870568642
"Mexico",47.6152367246025
"Mongolia",29.6950787826462
"Morocco",62.733455644291
"Mozambique",62.7831863166953
"Myanmar (Burma)",71.5116770990719
"Namibia",57.9903410317288
"Nepal",49.4923475445225
"New Zealand",58.9137491905892
"Nicaragua",71.8512817739318
"Nigeria",61.9915462596131
"North Korea",48.210198575437
"Norway",40.9233720447947
"Oman",21.8889761130425
"Pakistan",71.6510145709659
"Panama",79.5787934383769
"Peru",66.6334469647306
"Philippines",81.5424239153896
"Poland",47.7760846104036
"Portugal",61.8577703431901
"Qatar",82.2356248650982
"Romania",52.3645046406216
"Russia",44.9658021133526
"Saudi Arabia",79.150302180013
"Senegal",75.5550723073603
"Serbia-Montenegro",42.3967610154654
"Sierra Leone",-9.82026091157997
"Singapore",81.6544031944744
"Slovakia",51.4464601769911
"South Africa",61.9404165767322
"South Korea",52.8779732354846
"Spain",59.4683178645946
"Sri Lanka",74.2414202460608
"Suriname",47.5149115235218
"Sweden",45.0935031297215
"Switzerland",49.8293977984027
"Syria",62.8061198057205
"Taiwan",69.3338765378804
"Tajikistan",35.1545650766242
"Tanzania",65.3048407917383
"Thailand",72.4640858815875
"The Netherlands",50.8180768400605
"Togo",71.5697604144183
"Tunisia",66.4786423483704
"Turkey",55.1784103172889
"Turkmenistan",62.0496870278437
"Uganda",44.1425256341069
"Ukraine",47.6631556227067
"United Arab Emirates",82.5825652924671
"United Kingdom",51.0067666738613
"Uruguay",60.9748650982085
"US",56.1223319409869
"Uzbekistan",58.8063457802719
"Venezuela",78.326011872639
"Vietnam",74.7373192315994
"Yugoslavia",54.0328404921217
"Zambia",55.9034616489514
